match_id,stage,home_team,away_team,predicted_home_score,predicted_away_score,predicted_scorers_home,predicted_scorers_away,predicted_winner
"R16_001","Round of 16",,,,,,,
"R16_002","Round of 16",,,,,,,
"R16_003","Round of 16",,,,,,,
"R16_004","Round of 16",,,,,,,
"R16_005","Round of 16",,,,,,,
"R16_006","Round of 16",,,,,,,
"R16_007","Round of 16",,,,,,,
"R16_008","Round of 16",,,,,,,
"QF_001","Quarter Final",,,,,,,
"QF_002","Quarter Final",,,,,,,
"QF_003","Quarter Final",,,,,,,
"QF_004","Quarter Final",,,,,,,
"SF_001","Semi Final",,,,,,,
"SF_002","Semi Final",,,,,,,
"TP_001","Third Place Play-off",,,,,,,
"F_001","Final",,,,,,,
